101,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
102,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
103,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
104,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
105,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
106,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
107,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
108,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
109,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
110,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
111,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
112,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
113,"ул. Псковская, жилой дом",р-н Московский,кирпичный,9,16,2,65.1,18.6,12.3,лоджия,Новострой,3667000
114,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
115,"Тверская область, Тверь, 2-я ул. Красина, 82",р-н Заволжский,кирпичный,3,17,3,82,43,15.5,лоджия,Вторичка,5300000
116,"Тверская область, Тверь, ул. Левитана, 20",р-н Московский,панельный,1,5,3,66.1,43.4,7.6,балкон,Вторичка,3600000
117,"Тверская область, Тверь, ул. Марии Ульяновой, 42",р-н Московский,кирпичный,5,5,своб. планировка,100,43.4,10,лоджия,Вторичка,3749000
